crit,n_est,max_depth,max_feat,max_sampl,fs,accuracy
entropy,50,6,0.5,0.25,12434,0.5969418960244648
entropy,50,6,0.5,0.25,13434,0.5972477064220183
entropy,50,6,0.5,0.25,14434,0.5935779816513761
entropy,50,6,0.5,0.25,15434,0.5990825688073395
entropy,50,6,0.5,0.25,16434,0.5954128440366973
entropy,50,6,0.5,0.25,17434,0.5944954128440367
entropy,50,6,0.5,0.25,18434,0.5969418960244648
entropy,50,6,0.5,0.25,19434,0.5938837920489297
entropy,50,6,0.5,0.25,20434,0.5951070336391437
entropy,50,6,0.5,0.25,21434,0.5954128440366973
entropy,50,6,0.5,0.5,5434,0.5966360856269113
entropy,50,6,0.5,0.5,6434,0.5969418960244648
entropy,50,6,0.5,0.5,7434,0.5954128440366973
entropy,50,6,0.5,0.5,8434,0.5963302752293578
entropy,50,6,0.5,0.5,9434,0.5957186544342508
entropy,50,6,0.5,0.5,10434,0.5981651376146789
entropy,50,6,0.5,0.5,11434,0.5969418960244648
entropy,50,6,0.5,0.5,12434,0.5981651376146789
entropy,50,6,0.5,0.5,13434,0.5951070336391437
entropy,50,6,0.5,0.5,14434,0.5978593272171254
entropy,50,6,0.5,0.5,15434,0.5957186544342508
entropy,50,6,0.5,0.5,16434,0.5954128440366973
entropy,50,6,0.5,0.5,17434,0.5975535168195719
entropy,50,6,0.5,0.5,18434,0.5969418960244648
entropy,50,6,0.5,0.5,19434,0.5966360856269113
entropy,50,6,0.5,0.5,20434,0.5957186544342508
entropy,50,6,0.5,0.5,21434,0.5957186544342508
entropy,50,6,0.5,0.75,5434,0.5957186544342508
entropy,50,6,0.5,0.75,6434,0.5960244648318043
entropy,50,6,0.5,0.75,7434,0.5960244648318043
entropy,50,6,0.5,0.75,8434,0.5957186544342508
entropy,50,6,0.5,0.75,9434,0.5969418960244648
entropy,50,6,0.5,0.75,10434,0.5944954128440367
entropy,50,6,0.5,0.75,11434,0.5969418960244648
entropy,50,6,0.5,0.75,12434,0.5951070336391437
entropy,50,6,0.5,0.75,13434,0.5944954128440367
entropy,50,6,0.5,0.75,14434,0.5951070336391437
entropy,50,6,0.5,0.75,15434,0.5957186544342508
entropy,50,6,0.5,0.75,16434,0.5948012232415902
entropy,50,6,0.5,0.75,17434,0.5957186544342508
entropy,50,6,0.5,0.75,18434,0.5978593272171254
entropy,50,6,0.5,0.75,19434,0.5963302752293578
entropy,50,6,0.5,0.75,20434,0.5963302752293578
entropy,50,6,0.5,0.75,21434,0.5944954128440367
entropy,50,6,0.75,0.25,5434,0.5969418960244648
entropy,50,6,0.75,0.25,6434,0.5960244648318043
entropy,50,6,0.75,0.25,7434,0.5957186544342508
entropy,50,6,0.75,0.25,8434,0.5938837920489297
entropy,50,6,0.75,0.25,9434,0.5960244648318043
entropy,50,6,0.75,0.25,10434,0.5984709480122324
entropy,50,6,0.75,0.25,11434,0.5969418960244648
entropy,50,6,0.75,0.25,12434,0.5941896024464832
entropy,50,6,0.75,0.25,13434,0.5972477064220183
entropy,50,6,0.75,0.25,14434,0.5984709480122324
entropy,50,6,0.75,0.25,15434,0.5951070336391437
entropy,50,6,0.75,0.25,16434,0.5960244648318043
entropy,50,6,0.75,0.25,17434,0.5966360856269113
entropy,50,6,0.75,0.25,18434,0.5957186544342508
entropy,50,6,0.75,0.25,19434,0.5941896024464832
entropy,50,6,0.75,0.25,20434,0.5966360856269113
entropy,50,6,0.75,0.25,21434,0.5957186544342508
entropy,50,6,0.75,0.5,5434,0.5960244648318043
entropy,50,6,0.75,0.5,6434,0.5975535168195719
entropy,50,6,0.75,0.5,7434,0.5969418960244648
entropy,50,6,0.75,0.5,8434,0.5969418960244648
entropy,50,6,0.75,0.5,9434,0.5963302752293578
entropy,50,6,0.75,0.5,10434,0.5932721712538226
entropy,50,6,0.75,0.5,11434,0.5957186544342508
entropy,50,6,0.75,0.5,12434,0.5966360856269113
entropy,50,6,0.75,0.5,13434,0.5954128440366973
entropy,50,6,0.75,0.5,14434,0.5975535168195719
entropy,50,6,0.75,0.5,15434,0.5966360856269113
entropy,50,6,0.75,0.5,16434,0.5966360856269113
entropy,50,6,0.75,0.5,17434,0.5975535168195719
entropy,50,6,0.75,0.5,18434,0.5963302752293578
entropy,50,6,0.75,0.5,19434,0.5957186544342508
entropy,50,6,0.75,0.5,20434,0.5966360856269113
entropy,50,6,0.75,0.5,21434,0.5944954128440367
entropy,50,6,0.75,0.75,5434,0.5954128440366973
entropy,50,6,0.75,0.75,6434,0.5948012232415902
entropy,50,6,0.75,0.75,7434,0.5960244648318043
entropy,50,6,0.75,0.75,8434,0.5954128440366973
entropy,50,6,0.75,0.75,9434,0.5941896024464832
entropy,50,6,0.75,0.75,10434,0.5948012232415902
entropy,50,6,0.75,0.75,11434,0.5948012232415902
entropy,50,6,0.75,0.75,12434,0.5960244648318043
entropy,50,6,0.75,0.75,13434,0.5957186544342508
entropy,50,6,0.75,0.75,14434,0.5966360856269113
entropy,50,6,0.75,0.75,15434,0.5951070336391437
entropy,50,6,0.75,0.75,16434,0.5938837920489297
entropy,50,6,0.75,0.75,17434,0.5972477064220183
entropy,50,6,0.75,0.75,18434,0.5948012232415902
entropy,50,6,0.75,0.75,19434,0.5948012232415902
entropy,50,6,0.75,0.75,20434,0.5954128440366973
entropy,50,6,0.75,0.75,21434,0.5963302752293578
entropy,50,8,0.25,0.25,5434,0.5984709480122324
entropy,50,8,0.25,0.25,6434,0.5978593272171254
entropy,50,8,0.25,0.25,7434,0.5990825688073395
entropy,50,8,0.25,0.25,8434,0.5975535168195719
entropy,50,8,0.25,0.25,9434,0.5996941896024465
entropy,50,8,0.25,0.25,10434,0.5978593272171254
entropy,50,8,0.25,0.25,11434,0.598776758409786
entropy,50,8,0.25,0.25,12434,0.5984709480122324
entropy,50,8,0.25,0.25,13434,0.6021406727828746
entropy,50,8,0.25,0.25,14434,0.5975535168195719
entropy,50,8,0.25,0.25,15434,0.5990825688073395
entropy,50,8,0.25,0.25,16434,0.5969418960244648
entropy,50,8,0.25,0.25,17434,0.6009174311926605
entropy,50,8,0.25,0.25,18434,0.5984709480122324
entropy,50,8,0.25,0.25,19434,0.5984709480122324
entropy,50,8,0.25,0.25,20434,0.598776758409786
entropy,50,8,0.25,0.25,21434,0.5981651376146789
entropy,50,8,0.25,0.5,5434,0.6003058103975535
entropy,50,8,0.25,0.5,6434,0.598776758409786
entropy,50,8,0.25,0.5,7434,0.5996941896024465
entropy,50,8,0.25,0.5,8434,0.5984709480122324
entropy,50,8,0.25,0.5,9434,0.5981651376146789
entropy,50,8,0.25,0.5,10434,0.6
entropy,50,8,0.25,0.5,11434,0.6027522935779817
entropy,50,8,0.25,0.5,12434,0.6003058103975535
entropy,50,8,0.25,0.5,13434,0.600611620795107
entropy,50,8,0.25,0.5,14434,0.5969418960244648
entropy,50,8,0.25,0.5,15434,0.5954128440366973
entropy,50,8,0.25,0.5,16434,0.5981651376146789
entropy,50,8,0.25,0.5,17434,0.6015290519877676
entropy,50,8,0.25,0.5,18434,0.6012232415902141
entropy,50,8,0.25,0.5,19434,0.6009174311926605
entropy,50,8,0.25,0.5,20434,0.6012232415902141
entropy,50,8,0.25,0.5,21434,0.5990825688073395
entropy,50,8,0.25,0.75,5434,0.598776758409786
entropy,50,8,0.25,0.75,6434,0.6009174311926605
entropy,50,8,0.25,0.75,7434,0.6027522935779817
entropy,50,8,0.25,0.75,8434,0.6
entropy,50,8,0.25,0.75,9434,0.6015290519877676
entropy,50,8,0.25,0.75,10434,0.6015290519877676
entropy,50,8,0.25,0.75,11434,0.600611620795107
entropy,50,8,0.25,0.75,12434,0.5981651376146789
entropy,50,8,0.25,0.75,13434,0.598776758409786
entropy,50,8,0.25,0.75,14434,0.600611620795107
entropy,50,8,0.25,0.75,15434,0.6
entropy,50,8,0.25,0.75,16434,0.6012232415902141
entropy,50,8,0.25,0.75,17434,0.6003058103975535
entropy,50,8,0.25,0.75,18434,0.6018348623853211
entropy,50,8,0.25,0.75,19434,0.5981651376146789
entropy,50,8,0.25,0.75,20434,0.600611620795107
entropy,50,8,0.25,0.75,21434,0.6018348623853211
entropy,50,8,0.5,0.25,5434,0.599388379204893
entropy,50,8,0.5,0.25,6434,0.6012232415902141
entropy,50,8,0.5,0.25,7434,0.599388379204893
entropy,50,8,0.5,0.25,8434,0.5960244648318043
entropy,50,8,0.5,0.25,9434,0.6003058103975535
entropy,50,8,0.5,0.25,10434,0.6015290519877676
entropy,50,8,0.5,0.25,11434,0.5978593272171254
entropy,50,8,0.5,0.25,12434,0.5978593272171254
entropy,50,8,0.5,0.25,13434,0.6009174311926605
entropy,50,8,0.5,0.25,14434,0.5963302752293578
entropy,50,8,0.5,0.25,15434,0.5981651376146789
entropy,50,8,0.5,0.25,16434,0.5966360856269113
entropy,50,8,0.5,0.25,17434,0.6012232415902141
entropy,50,8,0.5,0.25,18434,0.5978593272171254
entropy,50,8,0.5,0.25,19434,0.5981651376146789
entropy,50,8,0.5,0.25,20434,0.6
entropy,50,8,0.5,0.25,21434,0.5978593272171254
entropy,50,8,0.5,0.5,5434,0.5975535168195719
entropy,50,8,0.5,0.5,6434,0.6024464831804281
entropy,50,8,0.5,0.5,7434,0.600611620795107
entropy,50,8,0.5,0.5,8434,0.6003058103975535
entropy,50,8,0.5,0.5,9434,0.5966360856269113
entropy,50,8,0.5,0.5,10434,0.5975535168195719
entropy,50,8,0.5,0.5,11434,0.5969418960244648
entropy,50,8,0.5,0.5,12434,0.599388379204893
entropy,50,8,0.5,0.5,13434,0.599388379204893
entropy,50,8,0.5,0.5,14434,0.5996941896024465
entropy,50,8,0.5,0.5,15434,0.5984709480122324
entropy,50,8,0.5,0.5,16434,0.6009174311926605
entropy,50,8,0.5,0.5,17434,0.6018348623853211
entropy,50,8,0.5,0.5,18434,0.5984709480122324
entropy,50,8,0.5,0.5,19434,0.5984709480122324
entropy,50,8,0.5,0.5,20434,0.5969418960244648
entropy,50,8,0.5,0.5,21434,0.5975535168195719
entropy,50,8,0.5,0.75,5434,0.599388379204893
entropy,50,8,0.5,0.75,6434,0.5984709480122324
entropy,50,8,0.5,0.75,7434,0.6030581039755352
entropy,50,8,0.5,0.75,8434,0.5975535168195719
entropy,50,8,0.5,0.75,9434,0.5975535168195719
entropy,50,8,0.5,0.75,10434,0.5972477064220183
entropy,50,8,0.5,0.75,11434,0.5996941896024465
entropy,50,8,0.5,0.75,12434,0.600611620795107
entropy,50,8,0.5,0.75,13434,0.5972477064220183
entropy,50,8,0.5,0.75,14434,0.6
entropy,50,8,0.5,0.75,15434,0.600611620795107
entropy,50,8,0.5,0.75,16434,0.5972477064220183
entropy,50,8,0.5,0.75,17434,0.6
entropy,50,8,0.5,0.75,18434,0.5996941896024465
entropy,50,8,0.5,0.75,19434,0.5990825688073395
entropy,50,8,0.5,0.75,20434,0.5975535168195719
entropy,50,8,0.5,0.75,21434,0.5966360856269113
entropy,50,8,0.75,0.25,5434,0.6003058103975535
entropy,50,8,0.75,0.25,6434,0.5981651376146789
entropy,50,8,0.75,0.25,7434,0.5996941896024465
entropy,50,8,0.75,0.25,8434,0.600611620795107
entropy,50,8,0.75,0.25,9434,0.6030581039755352
entropy,50,8,0.75,0.25,10434,0.6
entropy,50,8,0.75,0.25,11434,0.5975535168195719
entropy,50,8,0.75,0.25,12434,0.5975535168195719
entropy,50,8,0.75,0.25,13434,0.598776758409786
entropy,50,8,0.75,0.25,14434,0.5972477064220183
entropy,50,8,0.75,0.25,15434,0.598776758409786
entropy,50,8,0.75,0.25,16434,0.599388379204893
entropy,50,8,0.75,0.25,17434,0.598776758409786
entropy,50,8,0.75,0.25,18434,0.5996941896024465
entropy,50,8,0.75,0.25,19434,0.6015290519877676
entropy,50,8,0.75,0.25,20434,0.5990825688073395
entropy,50,8,0.75,0.25,21434,0.600611620795107
entropy,50,8,0.75,0.5,5434,0.6009174311926605
entropy,50,8,0.75,0.5,6434,0.5969418960244648
entropy,50,8,0.75,0.5,7434,0.5978593272171254
entropy,50,8,0.75,0.5,8434,0.6018348623853211
entropy,50,8,0.75,0.5,9434,0.5996941896024465
entropy,50,8,0.75,0.5,10434,0.5978593272171254
entropy,50,8,0.75,0.5,11434,0.5990825688073395
entropy,50,8,0.75,0.5,12434,0.598776758409786
entropy,50,8,0.75,0.5,13434,0.5990825688073395
entropy,50,8,0.75,0.5,14434,0.6021406727828746
entropy,50,8,0.75,0.5,15434,0.5975535168195719
entropy,50,8,0.75,0.5,16434,0.5996941896024465
entropy,50,8,0.75,0.5,17434,0.5984709480122324
entropy,50,8,0.75,0.5,18434,0.5981651376146789
entropy,50,8,0.75,0.5,19434,0.5981651376146789
entropy,50,8,0.75,0.5,20434,0.5978593272171254
entropy,50,8,0.75,0.5,21434,0.5990825688073395
entropy,50,8,0.75,0.75,5434,0.6
entropy,50,8,0.75,0.75,6434,0.5975535168195719
entropy,50,8,0.75,0.75,7434,0.5978593272171254
